,avg_log_income,log_income_per_capita,migrated_yn,income_satisfaction,income_sufficiency_6m,econ_condition,country
1243,3.7730338893458035,5.550048374714159,0,2,2,2,HND
1244,3.951517719501285,6.018593214496234,1,2,3,2,HND
1248,4.625590661592376,5.278114659230517,0,3,2,1,GT
1251,3.0545957218850384,5.056245805348308,0,2,5,2,GT
1256,2.6724279975399523,2.763620052437201,1,99,5,1,GT
1258,3.0545957218850384,3.970291913552122,0,2,1,2,GT
1259,4.7783406657737455,5.209486152841421,0,1,1,2,GT
1274,,1.3217558399823195,0,3,2,2,HND
1277,3.4442221323327553,4.770684624465665,0,2,2,2,GT
1278,3.47075777207977,3.893859034800475,0,2,2,2,GT
1279,3.47075777207977,3.893859034800475,0,2,2,2,GT
1281,3.546384580682379,4.189654742026425,0,2,2,2,GT
1282,3.496607435266805,4.422848629154137,0,2,2,2,GT
1287,4.635005648984646,6.018593214496234,1,1,1,1,HND
1289,,1.1631508098056809,0,2,2,2,HND
1293,,1.5404450410185773,0,3,2,1,GT
1294,4.910820262667382,5.85124416642854,0,1,2,1,GT
1298,1.267148287574278,2.5877640352277083,0,3,4,2,HND
1301,0.9934276834630583,2.6855773454774243,0,4,5,1,HND
1306,3.06365724170176,5.10594547390058,1,2,2,2,HND
1310,2.881432476870934,4.189654742026425,0,4,5,1,GT
1313,2.782280913342107,2.874371416307788,1,4,5,1,GT
1317,4.22477674057295,5.160969175205609,0,1,1,2,GT
1320,,1.3217558399823195,0,3,4,2,HND
1326,3.546152194528203,3.970291913552122,0,2,3,1,GT
1327,3.4439904882639745,4.770684624465665,0,2,3,1,GT
1328,3.9419590180702992,3.907010463604602,1,3,3,1,GT
1329,3.268036015807378,3.5115454388310208,0,3,4,1,GT
1330,3.7635119761673015,4.409763389645481,0,3,3,1,GT
1345,5.707110264748875,4.330733340286331,0,3,5,1,SLV
1354,4.110873864173311,2.5649493574615367,0,4,5,2,SLV
1357,4.948759890378168,3.367295829986474,0,2,2,2,SLV
1360,4.795790545596741,3.4339872044851463,0,3,4,1,SLV
1362,,1.041453874710514,0,3,2,2,SLV
1365,4.394449154672439,3.32022831924897,0,2,3,1,SLV
1368,5.6131281063880705,4.923623917106626,0,2,5,2,SLV
1371,2.5574405444457913,4.973279507552487,0,2,2,2,HND
1375,4.63495789406753,5.864847967392973,1,3,5,1,HND
1391,1.6584152019516352,3.068052935133617,0,2,5,2,HND
1404,,1.041453874710514,1,2,3,2,HND
1409,2.2428250036117285,2.6390573296152584,0,4,5,1,GT
1410,2.9716337731939926,2.6390573296152584,1,4,5,2,GT
1413,3.268036015807378,3.6888794541139363,0,1,2,2,GT
1415,2.2428250036117285,2.211017899468555,0,3,2,1,GT
